+2L,+8L,+3L,+5L,-1L,-4L,-6L,+6T,+1L,+4L,-2L,-3T,+2T,+9T,+3T,-5L,-2T,-9T,+9L,+5W,-8T,-7T,+6L,+5W,-9L,+1T,-5T,+5T,+4T,+8T,-8L,-4T,-3L,+5W,-1T,-7L,+5W,-6T,+7T,+7L,61,+2L +8L +3L +5L +9T +3T +9L +5W +5T +4T +8T
+5T,-5L,+3L,-5T,-9T,-6T,-3L,+9L,+4L,-9L,-4L,+7L,+5L,-2L,+1L,-1L,-3T,-7T,-7L,-4T,+5W,-1T,+5W,+2L,+9T,+2T,+8L,-2T,+7T,+6L,+8T,-8L,+6T,+4T,+3T,-8T,+5W,-6L,+1T,+5W,66,+9L +5W +2L +9T +2T +8L +7T +6L +8T +6T +4T
-2T,-1L,+5W,+2L,-9T,-8T,+5W,+5W,-7L,+4T,+5L,+1T,+6L,+3T,-3L,+6T,-6L,-4T,+7T,+5W,+5T,-1T,-7T,+4L,+3L,+8T,-4L,+7L,-6T,-3T,+2T,+9T,+9L,-5L,+1L,+8L,-8L,-2L,-9L,-5T,62,+4T +5L +1T +6L +7T +5W +5T +3L +8T +9T +9L
+6T,+5W,-6L,+9T,+4L,+8T,-7L,+2T,+3T,+6L,-2L,-1T,-1L,+2L,-9T,+5W,+1L,+5W,+3L,-4L,-9L,+9L,-7T,+1T,-5L,+7L,-3T,-8T,-8L,-3L,+4T,-2T,+7T,+5W,+8L,-4T,-5T,+5L,+5T,-6T,62,+9T +4L +8T +2T +3T +6L +7T +5W +8L +5L +5T
+7L,+9L,+3L,+4T,+2T,-4L,+5W,-6L,-3T,-5T,-2T,-1L,+1L,+5W,+8L,-7L,+5W,+9T,-5L,+5W,-1T,+6T,+6L,+4L,-8T,+8T,-8L,+3T,+7T,+2L,+5L,-6T,-2L,+1T,-9L,-4T,-7T,-3L,-9T,+5T,63,+7L +9L +3L +4T +5W +9T +6T +6L +4L +3T +7T
-6T,-4L,+7T,+1T,+9T,-6L,+2T,+4T,+5L,+5W,+6L,-7L,+5T,-7T,+3L,-9T,-2L,+7L,-1T,+8T,+5W,-3L,+5W,-9L,-2T,+8L,-5T,+6T,+2L,+5W,-1L,+4L,-5L,-4T,+3T,+1L,-8L,-3T,+9L,-8T,60,+7T +1T +9T +4T +5L +5W +6L +7L -1T +8T +9L
-2T,+8L,+7L,-1L,-9T,-3L,-5L,+4L,+9L,-6T,+2L,+5T,-6L,-5T,-3T,+5W,+5W,+5W,+1L,+8T,+6L,+4T,+3L,-1T,-4L,+3T,-8L,-8T,+1T,-2L,-7L,-9L,+2T,+9T,+7T,-7T,-4T,+6T,+5W,+5L,68,+8L +7L +8T +6L +4T +3L +9T +7T +6T +5W +5L
+9L,+4L,-6L,-3T,+5T,+1L,+2T,-6T,+5W,+7T,-9T,-3L,-2T,-4T,-8T,+5L,-5T,-1T,+8T,+8L,+3L,+2L,+5W,+6T,+4T,-9L,+1T,-8L,+6L,+9T,-7T,-4L,-5L,+5W,-1L,-2L,+5W,-7L,+3T,+7L,67,+9L +7T +8T +8L +3L +2L +5W +6T +4T +6L +9T
+9T,+8L,+3T,+7L,+5L,+7T,-7L,-5L,+2T,+2L,-5T,+6T,+1L,-1T,+9L,+5W,-1L,-3T,+8T,-2L,-3L,+4T,+6L,+5W,-6T,-2T,-9T,-4L,-8T,-4T,-9L,+5W,-6L,+1T,+5W,+4L,-7T,+3L,+5T,-8L,71,+9T +8L +3T +7L +5L +7T +9L +8T +4T +6L +5W
+6L,-9L,+5W,-6T,-9T,-3L,-2T,+4L,-8T,-8L,+4T,-3T,+6T,-5T,+5L,+8L,-6L,-4L,-7L,-2L,+5T,+1T,+2T,+7L,+7T,+9L,+3T,+5W,+5W,+8T,-1T,-5L,+1L,+9T,+5W,+3L,-4T,+2L,-7T,-1L,69,+6L +5L +8L +7L +7T +9L +3T +5W +5W +8T +9T
-2T,-5T,-6L,+1L,+5W,+7L,-3T,+8L,+3L,-3L,+5W,-1L,-7T,+5W,-2L,+5T,+8T,-4L,+4L,+7T,-7L,-8L,-1T,-9L,+2T,-8T,+9T,-6T,+6T,+3T,+5W,-9T,-5L,+1T,+6L,+9L,+2L,+5L,+4T,-4T,62,+5T +8T +9T +6T +3T +5W +6L +9L +2L +5L +4T
